customer_id,tenure,monthly_charges,total_charges,contract_type,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,payment_method,paperless_billing,senior_citizen,partner,dependents,phone_service,multiple_lines,churn
CUST_00000,52,106.69937600115234,5973.047910005213,Month-to-month,DSL,0,0,0,0,1,0,Electronic check,1,1,0,1,1,1,1
CUST_00001,15,60.79844953648447,4934.329992164915,Month-to-month,DSL,0,0,0,0,1,1,Credit card,1,0,1,0,1,1,1
CUST_00002,72,75.17225952593398,936.8526292120944,Month-to-month,Fiber optic,1,0,0,0,0,1,Bank transfer,1,0,1,0,1,0,0
CUST_00003,61,45.388856404330426,1297.3980355426213,Month-to-month,Fiber optic,1,0,0,0,1,0,Mailed check,0,0,0,0,1,0,1
CUST_00004,21,39.611309969345285,840.6796730998974,One year,No,0,0,0,0,1,1,Mailed check,0,0,1,0,1,0,0
CUST_00005,24,70.55078791060338,4659.664987971645,Month-to-month,Fiber optic,0,1,0,0,1,0,Credit card,0,0,1,0,1,0,1
CUST_00006,3,79.50489797004207,7029.393687940092,One year,Fiber optic,0,0,0,0,1,1,Electronic check,0,0,0,0,1,0,0
CUST_00007,22,53.9271245896191,3527.024046812697,Month-to-month,No,0,0,1,0,0,0,Bank transfer,1,0,0,0,1,0,1
CUST_00008,53,76.94435177635003,1370.700574266195,Month-to-month,Fiber optic,0,0,0,0,0,1,Mailed check,0,0,0,0,1,1,0
CUST_00009,2,108.7460482513503,4508.534368676839,Two year,DSL,0,0,1,0,0,0,Electronic check,0,0,1,1,1,0,1
CUST_00010,30,75.6721584783366,6512.842513239108,Month-to-month,Fiber optic,0,0,0,0,0,0,Bank transfer,1,0,1,1,1,0,0
CUST_00011,38,92.08130963105066,5959.525285952147,Month-to-month,Fiber optic,0,1,1,1,0,0,Credit card,1,1,1,0,0,0,1
CUST_00012,2,100.53149673579051,7063.461159432669,Two year,Fiber optic,0,1,0,0,0,0,Mailed check,1,0,1,1,1,1,0
CUST_00013,64,118.87287819554427,2295.4265682660557,Month-to-month,Fiber optic,0,0,0,0,0,0,Credit card,0,0,1,1,1,0,1
CUST_00014,60,80.31974021769796,1632.2355514154215,One year,Fiber optic,1,0,0,1,0,0,Credit card,1,1,0,1,1,0,0
CUST_00015,21,100.6850148962586,7050.550238941316,One year,Fiber optic,1,0,0,0,0,1,Credit card,0,0,0,0,1,1,1
CUST_00016,33,116.26493185548746,5294.7264709463825,Month-to-month,No,0,0,1,0,1,1,Bank transfer,1,0,1,0,1,0,0
CUST_00017,58,114.44097255772735,2556.338547059678,Two year,Fiber optic,0,0,0,0,0,1,Credit card,1,0,1,1,1,0,0
CUST_00018,22,34.10818487777136,5964.549599522823,Month-to-month,DSL,0,0,0,0,0,1,Bank transfer,1,0,1,0,1,0,0
CUST_00019,49,60.6392308273522,6539.435237394906,Month-to-month,No,0,0,0,1,0,1,Bank transfer,0,0,1,0,1,1,1
CUST_00020,59,52.39900611067996,4958.328098694946,Month-to-month,DSL,0,1,0,1,0,0,Credit card,1,0,1,0,1,0,0
CUST_00021,42,28.692501495034932,5534.284468051329,Month-to-month,Fiber optic,0,0,1,0,1,0,Credit card,0,0,0,1,1,1,1
CUST_00022,60,83.32407749109606,3064.553245097064,Two year,No,0,0,0,0,0,1,Electronic check,1,0,1,0,1,0,0
CUST_00023,15,93.59046131960024,4355.695772010009,Month-to-month,Fiber optic,1,1,0,0,0,1,Mailed check,1,0,0,0,1,0,0
CUST_00024,62,104.81280954668836,4240.857448736681,Month-to-month,Fiber optic,0,0,0,0,0,0,Electronic check,1,0,0,0,1,1,0
CUST_00025,62,32.27768896627085,6799.5775499330975,Month-to-month,No,0,1,1,1,0,0,Mailed check,1,0,1,1,1,0,0
CUST_00026,47,107.64440758752939,6735.715444229242,One year,DSL,1,0,0,1,0,0,Mailed check,1,0,1,0,1,0,0
CUST_00027,62,84.29255636142533,6678.175707841641,Month-to-month,DSL,0,0,0,0,0,1,Electronic check,0,0,0,0,1,0,0
CUST_00028,51,90.39461351385094,187.14975267347978,Month-to-month,Fiber optic,0,1,0,0,0,0,Electronic check,1,0,1,0,1,1,1
CUST_00029,55,111.06240035403039,6021.409327304217,One year,DSL,0,0,0,0,1,1,Mailed check,1,0,1,0,1,0,0
CUST_00030,64,82.47612710432512,6093.543481876938,Month-to-month,Fiber optic,0,0,0,0,1,1,Mailed check,1,0,1,0,1,0,1
CUST_00031,3,53.58658571498351,5459.192700555621,Month-to-month,No,1,0,1,1,0,1,Mailed check,1,0,1,0,1,0,0
CUST_00032,51,102.51073314226598,6074.490797342475,Month-to-month,Fiber optic,0,0,0,0,0,0,Bank transfer,1,0,0,0,1,0,1
CUST_00033,7,56.30592121950905,6751.565934823999,Month-to-month,No,0,0,1,1,0,0,Mailed check,0,0,1,0,1,0,0
CUST_00034,21,23.422811082052913,3815.520527404107,Two year,DSL,0,1,0,0,0,0,Credit card,1,0,1,1,1,0,0
CUST_00035,39,103.06545065652497,4066.1966865587324,Month-to-month,No,0,1,0,0,0,0,Credit card,0,0,1,0,0,0,1
CUST_00036,18,54.51921448812756,1085.2410495999848,Month-to-month,DSL,1,1,1,0,1,1,Credit card,1,0,1,0,1,1,1
CUST_00037,4,97.38345232013403,3144.469476074158,Month-to-month,DSL,1,0,0,0,0,0,Electronic check,1,0,0,0,0,0,1
CUST_00038,60,56.275789466594546,5182.584921303096,One year,Fiber optic,0,0,0,0,1,0,Electronic check,0,0,0,0,1,0,0
CUST_00039,14,106.10680199747216,6265.158231563469,One year,Fiber optic,0,0,0,1,0,0,Electronic check,1,0,1,0,1,1,0
CUST_00040,9,41.95105250809587,1815.9518717605633,Month-to-month,Fiber optic,0,1,0,0,1,1,Mailed check,1,1,1,0,0,1,0
CUST_00041,53,117.45472651988699,1188.8009033579597,One year,No,1,0,0,0,1,0,Credit card,1,0,1,1,1,1,0
CUST_00042,2,97.97587747880308,5338.031835553888,One year,No,0,0,0,0,1,1,Mailed check,0,0,0,0,1,0,0
CUST_00043,60,31.423792592039682,114.85107984679406,Two year,DSL,0,0,1,0,0,0,Bank transfer,0,0,0,0,1,1,0
CUST_00044,71,76.57766199665605,1509.1434160279057,Two year,Fiber optic,0,0,1,0,1,0,Bank transfer,1,0,0,0,1,1,0
CUST_00045,44,118.53673122417347,329.6639047172345,Month-to-month,Fiber optic,0,0,0,1,1,0,Electronic check,0,1,1,0,1,0,1
CUST_00046,8,67.10654526938144,1418.3924310534803,Month-to-month,DSL,0,1,1,0,1,0,Bank transfer,1,0,0,0,1,0,0
CUST_00047,47,38.21071388215832,1532.4223114114914,Month-to-month,DSL,0,1,1,0,0,1,Credit card,1,0,1,0,0,0,0
CUST_00048,35,68.47783671503461,3162.6213985281142,Month-to-month,No,0,0,0,0,1,0,Bank transfer,0,0,0,0,1,1,1
CUST_00049,36,71.24576558819216,3278.384285023792,Two year,No,0,0,0,0,0,0,Electronic check,1,0,1,0,1,0,0
CUST_00050,50,94.16869442286655,7006.673517820878,Month-to-month,Fiber optic,0,1,0,0,0,1,Mailed check,1,0,0,0,0,0,1
CUST_00051,4,89.88458531609044,4129.866728740719,Month-to-month,DSL,1,0,0,0,1,1,Bank transfer,1,0,0,0,1,0,0
CUST_00052,2,60.255004359698056,5814.897648337062,One year,DSL,0,0,0,0,0,1,Credit card,0,1,1,0,1,1,1
CUST_00053,6,41.80231074940865,922.6851275702708,Month-to-month,Fiber optic,0,0,1,0,0,0,Credit card,1,0,1,0,1,0,0
CUST_00054,54,84.50541677693295,1880.9661681631815,Month-to-month,Fiber optic,0,0,0,0,0,0,Credit card,0,0,0,0,0,1,0
CUST_00055,4,62.17039345532818,5653.253183731546,Month-to-month,Fiber optic,0,0,0,0,1,1,Mailed check,1,0,1,0,1,1,1
CUST_00056,54,33.22762111253304,517.1512877013719,Month-to-month,No,0,0,0,1,0,1,Credit card,0,0,0,0,0,0,0
CUST_00057,63,110.05723012363856,3944.1215317256497,One year,DSL,1,0,0,0,0,1,Electronic check,1,0,0,0,1,0,0
CUST_00058,18,89.12218576096544,4835.014828737178,Month-to-month,DSL,0,0,0,0,0,0,Electronic check,1,0,0,0,1,0,1
CUST_00059,44,88.31838564454814,4856.950588014601,Month-to-month,No,1,1,0,0,1,1,Credit card,1,0,0,0,1,1,0
CUST_00060,34,102.25838759116739,281.169209017532,Month-to-month,No,0,1,0,0,0,1,Bank transfer,1,0,0,0,1,1,0
CUST_00061,62,72.96616786550811,2644.6532334105655,Month-to-month,Fiber optic,0,1,0,1,1,0,Credit card,0,1,0,0,1,1,0
CUST_00062,14,101.5054428402457,5128.276143288317,One year,DSL,0,0,0,1,0,1,Electronic check,1,0,1,0,1,0,0
CUST_00063,48,69.80907535110057,1277.0979155790233,Month-to-month,DSL,0,0,0,0,1,1,Electronic check,0,0,0,1,1,0,1
CUST_00064,15,26.71753999157101,5593.783621791621,Month-to-month,No,1,0,0,0,1,0,Electronic check,0,0,1,1,1,0,0
CUST_00065,72,60.524808802768874,5992.8091496280285,Two year,DSL,1,1,0,0,0,0,Bank transfer,0,0,0,0,1,0,0
CUST_00066,62,69.74648939798905,7857.556604524548,One year,DSL,1,0,0,0,0,1,Bank transfer,1,0,0,1,1,1,0
CUST_00067,40,92.02025816322958,1757.7517593656344,Month-to-month,Fiber optic,1,0,0,0,1,0,Bank transfer,1,0,0,0,1,0,0
CUST_00068,53,30.657873012867434,6618.53227456231,One year,No,1,0,0,1,0,0,Electronic check,1,0,1,0,0,0,0
CUST_00069,24,34.0018538660449,4210.342957657367,One year,Fiber optic,0,0,1,1,0,0,Mailed check,1,0,1,1,1,0,0
CUST_00070,26,46.368380263461646,3050.35450953897,One year,Fiber optic,0,0,0,1,1,0,Credit card,1,0,1,1,1,0,0
CUST_00071,60,46.649839337088224,1066.7763828689058,Month-to-month,Fiber optic,0,1,0,1,1,1,Credit card,1,0,0,1,1,0,0
CUST_00072,41,93.21845784590624,5910.494291251547,Two year,Fiber optic,0,1,1,0,0,0,Electronic check,0,0,1,0,0,0,0
CUST_00073,29,45.073066056159774,1963.275033235128,Month-to-month,Fiber optic,1,0,0,0,0,0,Bank transfer,1,0,1,0,1,1,1
CUST_00074,15,83.30980633574475,3034.2338147970613,Month-to-month,No,0,1,0,0,0,1,Mailed check,0,0,0,0,1,0,1
CUST_00075,45,69.42738501382715,594.0835924892106,Month-to-month,No,0,0,1,0,0,0,Mailed check,0,0,0,0,1,1,0
CUST_00076,65,77.32943781794006,6430.7986349742005,Month-to-month,Fiber optic,0,0,0,0,1,0,Bank transfer,1,0,0,0,1,0,0
CUST_00077,71,103.81069631782958,6156.0493393759825,Two year,Fiber optic,0,0,0,1,1,1,Credit card,1,0,1,1,1,1,0
CUST_00078,9,60.43815015490243,5895.565057334268,Month-to-month,Fiber optic,0,0,1,1,1,0,Credit card,1,0,0,0,1,0,0
CUST_00079,1,97.09113770642705,2465.6037328859047,Month-to-month,Fiber optic,0,0,0,1,0,0,Mailed check,0,0,1,0,1,1,0
CUST_00080,8,62.20360595506874,1470.4925867010622,Two year,Fiber optic,0,1,0,1,0,1,Mailed check,0,0,1,0,1,1,0
CUST_00081,63,55.38713765612494,5136.670789314815,Month-to-month,No,0,0,0,1,0,1,Bank transfer,1,0,1,0,1,0,0
CUST_00082,11,115.86271773132205,4019.7144344944336,Month-to-month,Fiber optic,0,0,0,0,0,1,Credit card,1,1,0,0,1,0,1
CUST_00083,8,38.43709206789632,1508.1944885466685,Month-to-month,DSL,0,0,0,1,1,1,Mailed check,0,1,1,1,1,0,0
CUST_00084,35,29.033696057760785,5518.699041293923,Month-to-month,Fiber optic,0,1,0,0,0,1,Credit card,1,1,0,0,1,1,0
CUST_00085,35,97.09859255354785,7929.898811388299,Month-to-month,No,0,0,1,0,1,1,Mailed check,0,0,0,0,1,0,1
CUST_00086,33,26.824970535409157,6003.034743162098,One year,DSL,0,0,1,1,1,1,Bank transfer,0,0,1,1,1,0,0
CUST_00087,5,103.70789907030294,5945.892454816333,Month-to-month,No,0,0,1,1,1,0,Credit card,0,0,0,1,1,0,1
CUST_00088,41,63.71933963572435,7607.470748151674,Month-to-month,No,0,0,0,0,1,0,Mailed check,1,0,0,1,1,1,0
CUST_00089,28,111.5513677291914,1703.1973038417273,One year,Fiber optic,0,0,0,0,1,1,Mailed check,1,0,0,1,1,1,0
